text,label,language,subcategory,term_used
Ramro kam gareko chau,0,mixed,neutral,
she देखाइदे ho timi,1,nepali,sexualized,देखाइदे
hey dekhai de हड्डी,1,nepali,body_shaming,हड्डी
Kehi khana khana jane?,0,mixed,neutral,
We will meet tomorrow at 10am खान दे,0,nepali,sexualized,खान दे
u b-h-y-a-g-r-i haru sabai,1,romanized_nepali,slurs,bhyagri
That is a beautiful picture,0,mixed,neutral,
hey छुँदै छुँदै haru sabai,1,nepali,coercive_threat,छुँदै छुँदै
We will meet tomorrow at 10am निकार,0,bhojpuri,gendered,निकार
We will meet tomorrow at 10am,0,mixed,neutral,
timi send कलमुही photo,1,bhojpuri,slurs,कलमुही
Can you share the document?,0,mixed,neutral,
she photo patha r-a-n-d-i- -m-i-n-d-s-e-t,1,romanized_nepali,hybrid,randi mindset
dekhai de कलमुही,1,bhojpuri,slurs,कलमुही
u हड्डी jasto behave gareki,1,nepali,body_shaming,हड्डी
hey स्यालनी haru sabai,1,nepali,strong_slurs,स्यालनी
Thank you for your help,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
I like this article,0,mixed,neutral,
yo manche photo patha देखाइदे,1,nepali,sexualized,देखाइदे
Ramro kam gareko chau,0,mixed,neutral,
hey photo patha रातमा लैजाने,1,nepali,coercive_threat,रातमा लैजाने
u r@@tm@ l@1j@n3 mindset,1,romanized_nepali,coercive_threat,raatma laijane
u b.e.h.a.v.e. .g.a.r. .n.a jasto ho,1,romanized_nepali,contextual_phrases,behave gar na
Kehi khana khana jane?,0,mixed,neutral,
u ma timro थ्वसा hoina ni,1,newari,gendered,थ्वसा
yo manche photo patha f-a-t-a-h-a,1,romanized_nepali,slurs,fataha
Can you share the document? टोरी,0,nepali,strong_slurs,टोरी
she मुजी ho timi,1,nepali,strong_slurs,मुजी
That is a beautiful picture,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
Can you share the document? कुतिया,0,nepali,dehumanizing,कुतिया
Thank you for your help नांगीन,0,nepali,sexualized,नांगीन
I like this article,0,mixed,neutral,
she करमी ho timi,1,bhojpuri,gendered,करमी
dekhai de नांगीन,1,nepali,sexualized,नांगीन
yo manche timi h-a-d-d-i chau,1,romanized_nepali,body_shaming,haddi
Ramro kam gareko chau सुत्नेसनी,0,nepali,sexualized,सुत्नेसनी
yo manche नांगिनु jasto behave gareki,1,nepali,sexual_phrases,नांगिनु
u ग्वाहा mentality,1,newari,slurs,ग्वाहा
That is a beautiful picture थोमा,0,tamang,gendered,थोमा
yo manche जेट्ठी mindset,1,nepali,dehumanizing,जेट्ठी
she randi mindset,1,romanized_nepali,slurs,randi
timi timilai t.o.r.i jasto lagcha,1,romanized_nepali,slurs,tori
Kehi khana khana jane?,0,mixed,neutral,
I like this article,0,mixed,neutral,
Malaai yo kurama sanchai lagyo छिनार,0,bhojpuri,slurs,छिनार
timi सिहनी haru sabai,1,tharu,slurs,सिहनी
Thank you for your help,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
hey c.h.i.m.m.a.t.i jasto ho,1,romanized_nepali,body_shaming,chimmati
Thank you for your help,0,mixed,neutral,
she h.a.d.d.i jasto ho,1,romanized_nepali,body_shaming,haddi
रातमा लैजाने jasto behave gareki,1,nepali,sexual_phrases,रातमा लैजाने
That is a beautiful picture,0,mixed,neutral,
u timi t.o.r.i chau,1,romanized_nepali,slurs,tori
Ramro kam gareko chau,0,mixed,neutral,
ch3@p x@ mindset,1,romanized_nepali,contextual_phrases,cheap xa
Tapaiko din kasto garyo?,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
u k-u-k-u-r-n-i ho timi,1,romanized_nepali,gendered_insults,kukurni
timi b.a.l.a.t.k.a.r. .g.a.r.n.e chau,1,romanized_nepali,coercive_threat,balatkar garne
hey ग्वाहा mindset,1,newari,slurs,ग्वाहा
Kehi khana khana jane?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
b-a-l-a-t-k-a-r- -g-a-r-n-e haru sabai,1,romanized_nepali,coercive_threat,balatkar garne
timi राँडी mindset,1,nepali,slurs,राँडी
Please send the report by Friday,0,mixed,neutral,
she timi b.h.y.a.g.r.i chau,1,romanized_nepali,slurs,bhyagri
she फटाहा ho timi,1,nepali,slurs,फटाहा
timilai k-a-s-t-o- -a-t-t-i-t-u-d-e jasto lagcha,1,romanized_nepali,contextual_phrases,kasto attitude
Thank you for your help,0,mixed,neutral,
yo manche dekhai de जेट्ठी,1,nepali,dehumanizing,जेट्ठी
yo manche जेट्ठी mindset,1,nepali,dehumanizing,जेट्ठी
u timilai राँडी jasto lagcha,1,nepali,strong_slurs,राँडी
Malaai yo kurama sanchai lagyo जेट्ठी,0,nepali,dehumanizing,जेट्ठी
Kehi khana khana jane? खान दे,0,nepali,sexualized,खान दे
hey $lvt j@$t0 ho timi,1,romanized_nepali,hybrid,slut jasto
देखाइदे jasto ho,1,nepali,sexualized,देखाइदे
send चण्डी photo,1,nepali,slurs,चण्डी
Please send the report by Friday,0,mixed,neutral,
u थ्वसा haru sabai,1,newari,gendered,थ्वसा
We will meet tomorrow at 10am,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Kehi khana khana jane? नांगीन,0,nepali,sexualized,नांगीन
yo manche dekhai de रातमा लैजाने,1,nepali,coercive_threat,रातमा लैजाने
सुत्नेसनी haru sabai,1,nepali,sexualized,सुत्नेसनी
The meeting is scheduled for Monday,0,mixed,neutral,
How are you?,0,mixed,neutral,
I like this article,0,mixed,neutral,
hey ma timro मोटकी hoina ni,1,bhojpuri,gendered,मोटकी
send देखाइदे photo,1,nepali,sexual_phrases,देखाइदे
photo patha e.a.s.y. .x.a,1,romanized_nepali,hybrid,easy xa
That is a beautiful picture,0,mixed,neutral,
u ma timro मखु hoina ni,1,newari,gendered,मखु
तोहार बात बहुत खराब mindset,1,tharu,contexts,तोहार बात बहुत खराब
How are you?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Tapaiko din kasto garyo? muji,0,romanized_nepali,slurs,muji
timi m o t i mentality,1,romanized_nepali,gendered_insults,moti
u ma timro t0r1 hoina ni,1,romanized_nepali,strong_slurs,tori
u photo patha छुँदै छुँदै,1,nepali,coercive_threat,छुँदै छुँदै
she टोरी mindset,1,nepali,slurs,टोरी
I like this article,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
timi balatkar garne chau,1,romanized_nepali,coercive_threat,balatkar garne
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
hey मुजी ho timi,1,nepali,slurs,मुजी
I like this article,0,mixed,neutral,
hey u look like खान दे,1,nepali,sexual_phrases,खान दे
That is a beautiful picture,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
u look like m u j i,1,romanized_nepali,strong_slurs,muji
The meeting is scheduled for Monday bhyagri,0,romanized_nepali,slurs,bhyagri
Kehi khana khana jane? bhyagri,0,romanized_nepali,slurs,bhyagri
How are you?,0,mixed,neutral,
I like this article,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
hey timi d.e.k.h.a.i. .d.e chau,1,romanized_nepali,sexual_phrases,dekhai de
hey timilai k-u-t-i-a jasto lagcha,1,romanized_nepali,gendered_insults,kutia
hey c.h.a.n.d.i mindset,1,romanized_nepali,slurs,chandi
u n.a.n.g.i.n mindset,1,romanized_nepali,sexualized,nangin
hey करमी mentality,1,bhojpuri,gendered,करमी
timi send मिच्यो मोस photo,1,tamang,contexts,मिच्यो मोस
That is a beautiful picture,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
I like this article,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
hey send s y a l n i photo,1,romanized_nepali,strong_slurs,syalni
u timilai एना करत नई jasto lagcha,1,tharu,contexts,एना करत नई
yo manche timilai बेश्या jasto lagcha,1,nepali,gendered_insults,बेश्या
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
ल्होकी mentality,1,tamang,gendered,ल्होकी
timi send n.a.n.g.i.n.u photo,1,romanized_nepali,sexual_phrases,nanginu
she dekhai de m-u-j-i,1,romanized_nepali,slurs,muji
timi राँडी haru sabai,1,nepali,slurs,राँडी
I like this article,0,mixed,neutral,
hey ma timro खान दे hoina ni,1,nepali,sexualized,खान दे
Can you share the document?,0,mixed,neutral,
chandi jasto ho,1,romanized_nepali,slurs,chandi
she k.a.l.i jasto ho,1,romanized_nepali,body_shaming,kali
u फटाहा mentality,1,nepali,strong_slurs,फटाहा
she send r-a-n-d-i photo,1,romanized_nepali,slurs,randi
hey नांगीन mindset,1,nepali,gendered_insults,नांगीन
Tapaiko din kasto garyo?,0,mixed,neutral,
I like this article खान दे,0,nepali,sexualized,खान दे
Kehi khana khana jane? छिनाल,0,nepali,strong_slurs,छिनाल
timi छुँदै छुँदै mentality,1,nepali,coercive_threat,छुँदै छुँदै
Please send the report by Friday,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
u भेंडी jasto ho,1,nepali,dehumanizing,भेंडी
timilai e.a.s.y. .x.a jasto lagcha,1,romanized_nepali,hybrid,easy xa
Ramro kam gareko chau,0,mixed,neutral,
How are you? चण्डी,0,nepali,slurs,चण्डी
मोटकी mentality,1,bhojpuri,gendered,मोटकी
मुजी mentality,1,nepali,slurs,मुजी
Can you share the document?,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
How are you?,0,mixed,neutral,
kvkvrn1 mentality,1,romanized_nepali,dehumanizing,kukurni
Tapaiko din kasto garyo?,0,mixed,neutral,
u look like s.y.a.l.n.i,1,romanized_nepali,slurs,syalni
Ramro kam gareko chau,0,mixed,neutral,
u khan de jasto behave gareki,1,romanized_nepali,sexualized,khan de
u देखाइदे mentality,1,nepali,sexualized,देखाइदे
How are you?,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
timi r-a-n-d-i haru sabai,1,romanized_nepali,strong_slurs,randi
timi dekhai de तागी,1,tamang,slurs,तागी
she timi इक्वासा chau,1,newari,slurs,इक्वासा
How are you?,0,mixed,neutral,
u u look like ल्होकी,1,tamang,gendered,ल्होकी
u r@@tm@ l@1j@n3 ho timi,1,romanized_nepali,coercive_threat,raatma laijane
The meeting is scheduled for Monday,0,mixed,neutral,
How are you?,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
timi भेंडी jasto behave gareki,1,nepali,strong_slurs,भेंडी
Please send the report by Friday,0,mixed,neutral,
ma timro न्ह्याकुसा hoina ni,1,newari,slurs,न्ह्याकुसा
she भेंडी jasto behave gareki,1,nepali,dehumanizing,भेंडी
yo manche c-h-h-i-n-a-l jasto behave gareki,1,romanized_nepali,strong_slurs,chhinal
yo manche ma timro स्टाटस हेर्दा नै थाहा हुन्छ hoina ni,1,nepali,contextual_phrases,स्टाटस हेर्दा नै थाहा हुन्छ
she timi कलमुही chau,1,bhojpuri,slurs,कलमुही
u look like यस्ती केटी,1,nepali,contextual_phrases,यस्ती केटी
u dekhai de न्ह्याकुसा,1,newari,slurs,न्ह्याकुसा
Tapaiko din kasto garyo?,0,mixed,neutral,
she dekhai de e-a-s-y- -c-h-a,1,romanized_nepali,contextual_phrases,easy cha
hey रातमा लैजाने jasto ho,1,nepali,sexual_phrases,रातमा लैजाने
she send मोटी photo,1,nepali,body_shaming,मोटी
Thank you for your help,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
How are you?,0,mixed,neutral,
yo manche निकार haru sabai,1,bhojpuri,gendered,निकार
u s.l.u.t. .j.a.s.t.o mindset,1,romanized_nepali,hybrid,slut jasto
Kehi khana khana jane?,0,mixed,neutral,
yo manche timi निकार chau,1,bhojpuri,gendered,निकार
Please send the report by Friday,0,mixed,neutral,
hey send टोरी photo,1,nepali,strong_slurs,टोरी
Please send the report by Friday,0,mixed,neutral,
yo manche send राँडी photo,1,nepali,slurs,राँडी
Can you share the document? slut jasto,0,romanized_nepali,hybrid,slut jasto
she राँडी jasto behave gareki,1,nepali,slurs,राँडी
yo manche dekhai de c.h.a.n.d.i,1,romanized_nepali,slurs,chandi
yo manche b.e.s.y.a mentality,1,romanized_nepali,gendered_insults,besya
That is a beautiful picture,0,mixed,neutral,
khan de jasto behave gareki,1,romanized_nepali,sexual_phrases,khan de
छिनाल jasto ho,1,nepali,dehumanizing,छिनाल
hey s.l.u.t. .j.a.s.t.o jasto ho,1,romanized_nepali,hybrid,slut jasto
r a n d i   m i n d s e t mindset,1,romanized_nepali,hybrid,randi mindset
How are you?,0,mixed,neutral,
she send b-h-e-n-d-i photo,1,romanized_nepali,dehumanizing,bhendi
she u look like रातमा लैजाने,1,nepali,coercive_threat,रातमा लैजाने
u k a s t o   a t t i t u d e mentality,1,romanized_nepali,contextual_phrases,kasto attitude
Thank you for your help,0,mixed,neutral,
yo manche timilai रातमा लैजाने jasto lagcha,1,nepali,coercive_threat,रातमा लैजाने
she dekhai de छुँदै छुँदै,1,nepali,coercive_threat,छुँदै छुँदै
Please send the report by Friday balatkar garne,0,romanized_nepali,coercive_threat,balatkar garne
Ramro kam gareko chau sutnesani,0,romanized_nepali,sexualized,sutnesani
timi छिनाल chau,1,nepali,dehumanizing,छिनाल
The meeting is scheduled for Monday,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
hey b-e-h-a-v-e- -g-a-r- -n-a jasto ho,1,romanized_nepali,contextual_phrases,behave gar na
Kehi khana khana jane?,0,mixed,neutral,
u ma timro चिम्मटी hoina ni,1,nepali,body_shaming,चिम्मटी
We will meet tomorrow at 10am,0,mixed,neutral,
How are you?,0,mixed,neutral,
timi तोहार चाल ठीक नइखे jasto ho,1,bhojpuri,contexts,तोहार चाल ठीक नइखे
timi h a d d i jasto behave gareki,1,romanized_nepali,body_shaming,haddi
send रांड photo,1,bhojpuri,slurs,रांड
timi b.h.e.n.d.i ho timi,1,romanized_nepali,dehumanizing,bhendi
hey dekhai de k h a n   d e,1,romanized_nepali,sexualized,khan de
hey लाम्बा mindset,1,tamang,slurs,लाम्बा
Please send the report by Friday,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
hey u look like m u j i   m e n t a l i t y,1,romanized_nepali,hybrid,muji mentality
she send मोटी photo,1,nepali,body_shaming,मोटी
The meeting is scheduled for Monday,0,mixed,neutral,
she randi mindset,1,romanized_nepali,strong_slurs,randi
hey ma timro रातमा लैजाने hoina ni,1,nepali,sexual_phrases,रातमा लैजाने
Can you share the document?,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
b3h@v3 g@r n@ mentality,1,romanized_nepali,contextual_phrases,behave gar na
f a t a h a mindset,1,romanized_nepali,slurs,fataha
she फटाहा haru sabai,1,nepali,slurs,फटाहा
I like this article,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Tapaiko din kasto garyo? टोरी,0,nepali,slurs,टोरी
Ramro kam gareko chau,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
Tapaiko din kasto garyo? balatkar garne,0,romanized_nepali,coercive_threat,balatkar garne
How are you?,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
How are you?,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
photo patha फटाहा,1,nepali,slurs,फटाहा
We will meet tomorrow at 10am,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
How are you?,0,mixed,neutral,
dekhai de kvkvrn1,1,romanized_nepali,gendered_insults,kukurni
Thank you for your help,0,mixed,neutral,
hey ma timro भ्याग्री hoina ni,1,nepali,slurs,भ्याग्री
Thank you for your help,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
she रातमा लैजाने mentality,1,nepali,coercive_threat,रातमा लैजाने
u न्ह्याकुसा ho timi,1,newari,slurs,न्ह्याकुसा
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
hey dekhaide jasto ho,1,romanized_nepali,sexualized,dekhaide
We will meet tomorrow at 10am,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
dekhai de d.e.k.h.a.i. .d.e,1,romanized_nepali,sexual_phrases,dekhai de
Ramro kam gareko chau,0,mixed,neutral,
she e a s y   c h a mindset,1,romanized_nepali,contextual_phrases,easy cha
u u look like तोहार बात बहुत खराब,1,tharu,contexts,तोहार बात बहुत खराब
timi photo patha भेंडी,1,nepali,strong_slurs,भेंडी
How are you?,0,mixed,neutral,
she timilai s y a l n i jasto lagcha,1,romanized_nepali,strong_slurs,syalni
she ma timro k a l i hoina ni,1,romanized_nepali,body_shaming,kali
hey timi जेट्ठी chau,1,nepali,dehumanizing,जेट्ठी
she timilai बलात्कार गर्ने jasto lagcha,1,nepali,coercive_threat,बलात्कार गर्ने
Thank you for your help,0,mixed,neutral,
she photo patha d3kh@1d3,1,romanized_nepali,sexualized,dekhaide
The meeting is scheduled for Monday स्टाटस हेर्दा नै थाहा हुन्छ,0,nepali,contextual_phrases,स्टाटस हेर्दा नै थाहा हुन्छ
muji ho timi,1,romanized_nepali,slurs,muji
yo manche b-e-s-y-a haru sabai,1,romanized_nepali,gendered_insults,besya
Ramro kam gareko chau,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
u r-a-n-d-i jasto behave gareki,1,romanized_nepali,strong_slurs,randi
u t.o.r.i haru sabai,1,romanized_nepali,slurs,tori
Tapaiko din kasto garyo?,0,mixed,neutral,
I like this article,0,mixed,neutral,
Ramro kam gareko chau रातमा लैजाने,0,nepali,coercive_threat,रातमा लैजाने
timi u look like k.a.l.i,1,romanized_nepali,gendered_insults,kali
We will meet tomorrow at 10am,0,mixed,neutral,
मिच्यो मोस mindset,1,tamang,contexts,मिच्यो मोस
she dekhai de m-u-j-i- -m-e-n-t-a-l-i-t-y,1,romanized_nepali,hybrid,muji mentality
Ramro kam gareko chau,0,mixed,neutral,
timilai राँडी jasto lagcha,1,nepali,strong_slurs,राँडी
yo manche s.l.u.t. .j.a.s.t.o jasto behave gareki,1,romanized_nepali,hybrid,slut jasto
I like this article,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
timi haddi chau,1,romanized_nepali,body_shaming,haddi
Kehi khana khana jane? तोहार चाल ठीक नइखे,0,bhojpuri,contexts,तोहार चाल ठीक नइखे
timi यस्ती केटी ho timi,1,nepali,contextual_phrases,यस्ती केटी
Can you share the document?,0,mixed,neutral,
timilai छोरोम हे jasto lagcha,1,tamang,contexts,छोरोम हे
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
u send रातमा लैजाने photo,1,nepali,sexual_phrases,रातमा लैजाने
Please send the report by Friday,0,mixed,neutral,
We will meet tomorrow at 10am bhendi,0,romanized_nepali,dehumanizing,bhendi
I like this article राँडी,0,nepali,slurs,राँडी
she timi k a s t o   a t t i t u d e chau,1,romanized_nepali,contextual_phrases,kasto attitude
Kehi khana khana jane? सिहनी,0,tharu,slurs,सिहनी
she u look like m.u.j.i,1,romanized_nepali,slurs,muji
That is a beautiful picture,0,mixed,neutral,
hey send d.h.e.r.a.i. .d.e.k.h.a.u.x.a photo,1,romanized_nepali,contextual_phrases,dherai dekhauxa
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
b e s y a jasto behave gareki,1,romanized_nepali,gendered_insults,besya
u मोटकी mentality,1,bhojpuri,gendered,मोटकी
The meeting is scheduled for Monday,0,mixed,neutral,
hey कुकुर्नी jasto behave gareki,1,nepali,gendered_insults,कुकुर्नी
Malaai yo kurama sanchai lagyo syalni,0,romanized_nepali,slurs,syalni
Thank you for your help खान दे,0,nepali,sexual_phrases,खान दे
hey मोटी mindset,1,nepali,body_shaming,मोटी
I like this article,0,mixed,neutral,
she timi m.u.j.i chau,1,romanized_nepali,strong_slurs,muji
photo patha काली,1,nepali,body_shaming,काली
Can you share the document?,0,mixed,neutral,
उमेर हेरेर बस ho timi,1,nepali,contextual_phrases,उमेर हेरेर बस
Please send the report by Friday,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
How are you?,0,mixed,neutral,
hey e.a.s.y. .x.a haru sabai,1,romanized_nepali,hybrid,easy xa
कुतिया ho timi,1,nepali,dehumanizing,कुतिया
timi dekhai de moti,1,romanized_nepali,body_shaming,moti
hey छिनार haru sabai,1,bhojpuri,slurs,छिनार
hey photo patha c.h.h.i.n.a.l,1,romanized_nepali,strong_slurs,chhinal
Ramro kam gareko chau,0,mixed,neutral,
send kvt1@ photo,1,romanized_nepali,dehumanizing,kutia
u करमी jasto ho,1,bhojpuri,gendered,करमी
How are you?,0,mixed,neutral,
hey u look like थोमा,1,tamang,gendered,थोमा
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
she send भेंडी photo,1,nepali,dehumanizing,भेंडी
I like this article,0,mixed,neutral,
hey रातमा लैजाने jasto behave gareki,1,nepali,coercive_threat,रातमा लैजाने
Kehi khana khana jane? भेंडी,0,nepali,strong_slurs,भेंडी
That is a beautiful picture,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Kehi khana khana jane?,0,mixed,neutral,
timi ma timro $lvt j@$t0 hoina ni,1,romanized_nepali,hybrid,slut jasto
जेट्ठी mindset,1,nepali,dehumanizing,जेट्ठी
hey photo patha रातमा लैजाने,1,nepali,coercive_threat,रातमा लैजाने
u send d.e.k.h.a.i. .d.e photo,1,romanized_nepali,sexual_phrases,dekhai de
We will meet tomorrow at 10am,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
Malaai yo kurama sanchai lagyo जेट्ठी,0,nepali,dehumanizing,जेट्ठी
Can you share the document?,0,mixed,neutral,
timi नांगीन chau,1,nepali,sexualized,नांगीन
she timilai जादे बोलतारी jasto lagcha,1,bhojpuri,contexts,जादे बोलतारी
I like this article,0,mixed,neutral,
j.e.t.t.h.i mentality,1,romanized_nepali,dehumanizing,jetthi
Thank you for your help,0,mixed,neutral,
timi छोरोम हे chau,1,tamang,contexts,छोरोम हे
timi यस्ती केटी jasto ho,1,nepali,contextual_phrases,यस्ती केटी
timilai bhyagri jasto lagcha,1,romanized_nepali,slurs,bhyagri
u look like न्ह्याकुसा,1,newari,slurs,न्ह्याकुसा
Kehi khana khana jane?,0,mixed,neutral,
timi न्हयाथा येन chau,1,newari,contexts,न्हयाथा येन
Please send the report by Friday,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
u ma timro c h e a p   x a hoina ni,1,romanized_nepali,contextual_phrases,cheap xa
dekhai de c h h u d a i   c h h u d a i,1,romanized_nepali,coercive_threat,chhudai chhudai
Ramro kam gareko chau,0,mixed,neutral,
We will meet tomorrow at 10am tori,0,romanized_nepali,slurs,tori
she u look like b3h@v3 g@r n@,1,romanized_nepali,contextual_phrases,behave gar na
u dekhai de तोहार चाल ठीक नइखे,1,bhojpuri,contexts,तोहार चाल ठीक नइखे
u timi खान दे chau,1,nepali,sexualized,खान दे
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
u c.h.i.m.m.a.t.i jasto ho,1,romanized_nepali,body_shaming,chimmati
Can you share the document?,0,mixed,neutral,
I like this article,0,mixed,neutral,
टोरी haru sabai,1,nepali,strong_slurs,टोरी
Kehi khana khana jane?,0,mixed,neutral,
she send सिहनी photo,1,tharu,slurs,सिहनी
hey moti jasto behave gareki,1,romanized_nepali,body_shaming,moti
yo manche t.o.r.i haru sabai,1,romanized_nepali,slurs,tori
hey सुत्नेसनी ho timi,1,nepali,sexualized,सुत्नेसनी
u look like b3h@v3 g@r n@,1,romanized_nepali,contextual_phrases,behave gar na
We will meet tomorrow at 10am dekhaide,0,romanized_nepali,sexualized,dekhaide
I like this article,0,mixed,neutral,
she s.y.a.l.n.i jasto behave gareki,1,romanized_nepali,slurs,syalni
How are you?,0,mixed,neutral,
u t-o-r-i jasto behave gareki,1,romanized_nepali,slurs,tori
छिनार mindset,1,bhojpuri,slurs,छिनार
u u look like थोमा,1,tamang,gendered,थोमा
The meeting is scheduled for Monday तोहार बात बहुत खराब,0,tharu,contexts,तोहार बात बहुत खराब
hey dekhai de $lvt j@$t0,1,romanized_nepali,hybrid,slut jasto
Thank you for your help इक्वासा,0,newari,slurs,इक्वासा
yo manche timilai न्हयाथा येन jasto lagcha,1,newari,contexts,न्हयाथा येन
she timi इक्वासा chau,1,newari,slurs,इक्वासा
Kehi khana khana jane?,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
photo patha रातमा लैजाने,1,nepali,sexual_phrases,रातमा लैजाने
photo patha c h e a p   x a,1,romanized_nepali,contextual_phrases,cheap xa
Please send the report by Friday,0,mixed,neutral,
she नांगीन mentality,1,nepali,gendered_insults,नांगीन
Tapaiko din kasto garyo?,0,mixed,neutral,
she छोरोम हे ho timi,1,tamang,contexts,छोरोम हे
I like this article,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
b.h.e.n.d.i jasto ho,1,romanized_nepali,dehumanizing,bhendi
dekhai de k.h.a.n. .d.e,1,romanized_nepali,sexual_phrases,khan de
hey m.o.t.i mindset,1,romanized_nepali,gendered_insults,moti
Thank you for your help,0,mixed,neutral,
Ramro kam gareko chau,0,mixed,neutral,
yo manche timilai सुत्नेसनी jasto lagcha,1,nepali,sexual_phrases,सुत्नेसनी
Can you share the document?,0,mixed,neutral,
dekhai de मुजी,1,nepali,strong_slurs,मुजी
ma timro h-a-d-d-i hoina ni,1,romanized_nepali,body_shaming,haddi
hey ma timro उमेर हेरेर बस hoina ni,1,nepali,contextual_phrases,उमेर हेरेर बस
send bhendi photo,1,romanized_nepali,dehumanizing,bhendi
timilai टोरी jasto lagcha,1,nepali,slurs,टोरी
That is a beautiful picture,0,mixed,neutral,
u look like मोटी,1,nepali,gendered_insults,मोटी
Thank you for your help,0,mixed,neutral,
Can you share the document?,0,mixed,neutral,
u c.h.h.u.d.a.i. .c.h.h.u.d.a.i jasto behave gareki,1,romanized_nepali,coercive_threat,chhudai chhudai
timi photo patha न्ह्याकुसा,1,newari,slurs,न्ह्याकुसा
I like this article,0,mixed,neutral,
hey u look like 3@$y x@,1,romanized_nepali,hybrid,easy xa
she नांगीन jasto ho,1,nepali,sexualized,नांगीन
We will meet tomorrow at 10am,0,mixed,neutral,
The meeting is scheduled for Monday,0,mixed,neutral,
We will meet tomorrow at 10am,0,mixed,neutral,
hey ma timro m.u.j.i. .m.e.n.t.a.l.i.t.y hoina ni,1,romanized_nepali,hybrid,muji mentality
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
I like this article,0,mixed,neutral,
timi मिसे जुइ jasto ho,1,newari,contexts,मिसे जुइ
timi send b-h-y-a-g-r-i photo,1,romanized_nepali,slurs,bhyagri
